,ward,town_code,town_name,total_pop,pop_young,pop_working,pop_old,pc_young,pc_working,pc_old,gender_ratio,ageing_index,dependency_ratio,lat,lon
444,miyagino,41020013002,宮千代二丁目,1158,140,819,199,12.089810017271157,70.72538860103627,17.184801381692573,92.35880398671097,142.14285714285714,216.0940170940171,38.253196,140.913337
445,miyagino,41020013003,宮千代三丁目,1058,136,752,170,12.854442344045369,71.07750472589792,16.068052930056712,103.07101727447217,125.0,188.08510638297872,38.253634999999996,140.91681599999998
446,miyagino,41020073000,元寺小路,202,9,185,8,4.455445544554455,91.58415841584159,3.9603960396039604,117.20430107526883,88.88888888888889,12.864864864864865,38.26396,140.885449
447,wakabayashi,41030086000,荒井,1386,158,786,442,11.3997113997114,56.709956709956714,31.89033189033189,93.57541899441341,279.746835443038,462.10178117048343,38.233649,140.955872
448,wakabayashi,41030084001,荒井一丁目,1322,271,861,190,20.499243570347957,65.1285930408472,14.37216338880484,103.38461538461539,70.11070110701108,221.47502903600466,38.242344,140.936235
449,wakabayashi,41030084002,荒井二丁目,1101,140,744,217,12.715712988192552,67.57493188010899,19.709355131698455,102.38970588235294,155.0,235.81720430107526,38.244707,140.93775300000001
450,wakabayashi,41030084003,荒井三丁目,1295,220,878,197,16.988416988416986,67.79922779922781,15.212355212355213,97.10806697108066,89.54545454545455,222.05694760820046,38.241021999999994,140.94224
451,wakabayashi,41030084004,荒井四丁目,1738,309,1152,277,17.779056386651323,66.28308400460298,15.937859608745686,97.72468714448237,89.64401294498381,303.8229166666667,38.244298,140.942635
452,wakabayashi,41030084005,荒井五丁目,710,81,537,92,11.408450704225352,75.63380281690141,12.957746478873238,103.43839541547277,113.58024691358024,107.08379888268156,38.247189,140.94534099999998
453,wakabayashi,41030084006,荒井六丁目,445,58,328,59,13.03370786516854,73.70786516853933,13.258426966292136,105.06912442396312,101.72413793103448,76.6829268292683,38.243429,140.946621
454,wakabayashi,41030084007,荒井七丁目,2148,439,1372,337,20.43761638733706,63.87337057728119,15.689013035381748,98.1549815498155,76.76537585421413,368.99708454810497,38.239046,140.947866
455,wakabayashi,41030084008,荒井八丁目,374,53,254,67,14.171122994652407,67.9144385026738,17.914438502673796,102.16216216216216,126.41509433962264,87.86614173228347,38.236206,140.94706100000002
456,wakabayashi,41030089001,荒井東一丁目,166,16,144,6,9.63855421686747,86.74698795180723,3.614457831325301,104.93827160493827,37.5,17.11111111111111,38.241803000000004,140.949711
457,wakabayashi,41030089002,荒井東二丁目,1014,136,470,408,13.41222879684418,46.35108481262327,40.23668639053255,81.3953488372093,300.0,436.93617021276594,38.235196,140.95136499999998
458,wakabayashi,41030087000,荒井南,1528,497,875,156,32.5261780104712,57.264397905759154,10.209424083769633,100.5249343832021,31.388329979879277,212.8,38.237146,140.942451
459,wakabayashi,41030083000,荒浜,219,12,130,77,5.47945205479452,59.3607305936073,35.15981735159817,116.83168316831683,641.6666666666667,86.23076923076923,38.222128000000005,140.970116
460,wakabayashi,41030038002,荒浜新二丁目,1,0,0,1,0.0,0.0,100.0,,,,38.216258,140.974996
461,wakabayashi,41030043000,荒町,1038,63,726,249,6.069364161849711,69.94219653179191,23.98843930635838,83.06878306878306,395.23809523809524,257.6776859504132,38.248718,140.884893
462,wakabayashi,41030053000,飯田,246,17,143,86,6.910569105691057,58.13008130081301,34.959349593495936,78.26086956521739,505.88235294117646,97.8881118881119,38.216770000000004,140.943454
463,wakabayashi,41030069001,伊在一丁目,636,95,460,81,14.937106918238992,72.32704402515722,12.735849056603774,100.63091482649841,85.26315789473684,101.65217391304347,38.247606,140.933909
464,wakabayashi,41030069002,伊在二丁目,888,115,635,138,12.950450450450452,71.509009009009,15.54054054054054,102.73972602739727,120.0,156.11023622047244,38.24726,140.937692
465,wakabayashi,41030069003,伊在三丁目,525,99,390,36,18.857142857142858,74.28571428571429,6.857142857142858,92.3076923076923,36.36363636363637,61.38461538461539,38.247271999999995,140.941517
466,wakabayashi,41030009000,石垣町,242,36,133,73,14.87603305785124,54.958677685950406,30.165289256198346,86.15384615384616,202.77777777777777,100.06766917293233,38.24715,140.885592
467,wakabayashi,41030033000,石名坂,1032,115,661,256,11.14341085271318,64.05038759689923,24.8062015503876,83.30373001776199,222.6086956521739,273.39788199697426,38.244608,140.886905
468,wakabayashi,41030024003,五橋三丁目,1677,224,1154,299,13.357185450208705,68.8133571854502,17.829457364341085,88.00448430493275,133.48214285714286,318.4107452339688,38.253585,140.88296100000002
469,wakabayashi,41030065000,一本杉町,2072,217,1299,556,10.472972972972974,62.69305019305019,26.833976833976834,87.85131459655486,256.221198156682,572.7051578137028,38.244938,140.905522
470,wakabayashi,41030082000,井土,28,0,7,21,0.0,25.0,75.0,133.33333333333331,,,38.193152000000005,140.96538600000002
